Date,Price,Open,High,Low,Vol.,Change %
2021-02-08,0.4511,0.4184,0.4511,0.4184,130.81M,0.0779
2021-02-09,0.4763,0.451,0.4763,0.451,149.42M,0.0559
2021-02-10,0.5045,0.4775,0.5264,0.4775,341.59M,0.0592
2021-02-11,0.5281,0.5046,0.5311,0.5046,143.40M,0.0468
2021-02-12,0.6085,0.5284,0.6085,0.5282,233.67M,0.1522
2021-02-13,0.6331,0.6109,0.6331,0.5939,237.30M,0.0404
2021-02-14,0.5917,0.6348,0.6348,0.5872,177.47M,-0.0654
2021-02-15,0.5488,0.5953,0.5953,0.5288,231.21M,-0.0725
2021-02-16,0.5196,0.5503,0.5694,0.5196,147.96M,-0.0532
2021-02-17,0.5332,0.5203,0.5451,0.5023,112.77M,0.0262
2021-02-18,0.5316,0.5352,0.5457,0.5316,79.95M,-0.003
2021-02-19,0.5635,0.5329,0.5635,0.5259,122.23M,0.06
2021-02-20,0.512,0.5662,0.5692,0.512,136.76M,-0.0914
2021-02-21,0.5438,0.5117,0.5462,0.5117,110.64M,0.0621
2021-02-22,0.5658,0.5454,0.582,0.5185,326.30M,0.0405
2021-02-23,0.4759,0.566,0.566,0.4492,410.81M,-0.1589
2021-02-24,0.4681,0.4771,0.4981,0.4672,116.82M,-0.0164
2021-02-25,0.4358,0.4674,0.4783,0.4358,86.37M,-0.069
2021-02-26,0.428,0.4354,0.4471,0.4256,128.46M,-0.0179
2021-02-27,0.4355,0.4281,0.446,0.4281,68.84M,0.0175
2021-02-28,0.4157,0.436,0.436,0.4049,91.77M,-0.0455
2021-03-01,0.4454,0.416,0.4454,0.416,65.57M,0.0714
2021-03-02,0.4359,0.4454,0.4454,0.427,68.41M,-0.0213
2021-03-03,0.4484,0.4353,0.458,0.4353,62.48M,0.0287
2021-03-04,0.4809,0.4481,0.4809,0.4456,147.04M,0.0725
