Date,Open,High,Low,Close,Adj Close,Volume
2020-02-01,0.239191,0.242612,0.237781,0.241455,0.241455,1592451417
2020-02-02,0.241321,0.259259,0.237002,0.250734,0.250734,2477130012
2020-02-03,0.250570,0.256370,0.248154,0.254627,0.254627,2156814065
2020-02-04,0.254557,0.269576,0.248820,0.266808,0.266808,2900951896
2020-02-05,0.266692,0.281039,0.266692,0.277468,0.277468,3332447611
2020-02-06,0.277542,0.285939,0.273494,0.282214,0.282214,3079150333
2020-02-07,0.282205,0.286520,0.277846,0.279284,0.279284,2372731517
2020-02-08,0.278878,0.280484,0.267578,0.277243,0.277243,2380993304
2020-02-09,0.277097,0.287235,0.276444,0.282457,0.282457,2343599758
2020-02-10,0.282486,0.283315,0.270231,0.274080,0.274080,2403459577
2020-02-11,0.273902,0.280746,0.267881,0.280141,0.280141,2383677083
2020-02-12,0.280272,0.307491,0.279948,0.304393,0.304393,4092541037
2020-02-13,0.304195,0.336142,0.303622,0.326706,0.326706,6473779289
2020-02-14,0.326363,0.337553,0.314526,0.334822,0.334822,4476902769
2020-02-15,0.335119,0.343972,0.302184,0.306236,0.306236,4282439063
2020-02-16,0.307265,0.318187,0.278036,0.295034,0.295034,4025339058
2020-02-17,0.294629,0.295218,0.271382,0.286572,0.286572,3690067847
2020-02-18,0.287010,0.300062,0.278746,0.297913,0.297913,3719318846
2020-02-19,0.297884,0.303685,0.277602,0.277602,0.277602,3096501889
2020-02-20,0.277138,0.281537,0.267330,0.272396,0.272396,3138024579
2020-02-21,0.272299,0.277900,0.270703,0.274938,0.274938,2626495845
2020-02-22,0.275345,0.276968,0.272305,0.275901,0.275901,2190665842
2020-02-23,0.275939,0.282868,0.275613,0.282711,0.282711,2313819448
2020-02-24,0.282590,0.283189,0.266478,0.270627,0.270627,2472100400
2020-02-25,0.270541,0.270824,0.253051,0.253412,0.253412,2590099692
2020-02-26,0.253371,0.255020,0.229383,0.230851,0.230851,3273784862
2020-02-27,0.231092,0.246190,0.226173,0.237116,0.237116,2775673347
2020-02-28,0.237111,0.243244,0.230776,0.236296,0.236296,2468502732
2020-02-29,0.236521,0.241962,0.231193,0.231193,0.231193,2061348763
2020-03-01,0.231105,0.235818,0.225707,0.228846,0.228846,2086828072
2020-03-02,0.228935,0.240349,0.227327,0.238747,0.238747,2466061224
2020-03-03,0.238669,0.238753,0.231990,0.234381,0.234381,2524293730
2020-03-04,0.234545,0.237961,0.231826,0.234530,0.234530,2280839542
2020-03-05,0.234555,0.242870,0.234555,0.239582,0.239582,2299594699
2020-03-06,0.239490,0.245920,0.239113,0.244088,0.244088,2423236344
2020-03-07,0.243970,0.244635,0.237024,0.237071,0.237071,2109420975
2020-03-08,0.237110,0.237110,0.206826,0.206904,0.206904,2627253062
2020-03-09,0.206683,0.211439,0.200741,0.209181,0.209181,2796925948
2020-03-10,0.209721,0.215253,0.206584,0.212235,0.212235,2317233373
2020-03-11,0.212293,0.213445,0.201465,0.208096,0.208096,2130165442
2020-03-12,0.208205,0.209124,0.139635,0.139635,0.139635,3547958418
2020-03-13,0.140524,0.164772,0.115093,0.159352,0.159352,5160523077
2020-03-14,0.159240,0.160035,0.145685,0.147292,0.147292,2310448365
2020-03-15,0.147293,0.162150,0.146127,0.153902,0.153902,2197842519
2020-03-16,0.153885,0.153885,0.133220,0.141063,0.141063,2646513874
2020-03-17,0.140982,0.150964,0.140982,0.144524,0.144524,2134494360
2020-03-18,0.144673,0.146911,0.140783,0.143100,0.143100,1964626837
2020-03-19,0.143159,0.170475,0.143130,0.165037,0.165037,2590533670
2020-03-20,0.165092,0.173812,0.149187,0.156868,0.156868,2946481356
2020-03-21,0.156715,0.160544,0.153647,0.158179,0.158179,2068099167
2020-03-22,0.158121,0.161106,0.149621,0.150214,0.150214,1864979798
2020-03-23,0.149929,0.157933,0.149190,0.157419,0.157419,2117431211
2020-03-24,0.157574,0.163493,0.156824,0.162255,0.162255,2155981658
2020-03-25,0.162290,0.163891,0.158634,0.161633,0.161633,2096308696
2020-03-26,0.161680,0.175916,0.160422,0.175019,0.175019,2236102811
2020-03-27,0.175003,0.186385,0.170564,0.176195,0.176195,2849306896
2020-03-28,0.175932,0.179475,0.167561,0.175783,0.175783,2689925753
2020-03-29,0.175680,0.176066,0.163225,0.163829,0.163829,1996124443
2020-03-30,0.163762,0.174170,0.163176,0.172171,0.172171,2131319206
2020-03-31,0.172134,0.177883,0.171549,0.174563,0.174563,2101862050
2020-04-01,0.174315,0.175323,0.169134,0.175323,0.175323,2053108172
2020-04-02,0.175180,0.183321,0.174310,0.178640,0.178640,2352651038
2020-04-03,0.178769,0.182728,0.176886,0.179467,0.179467,2106869711
2020-04-04,0.179612,0.182300,0.178305,0.181732,0.181732,1793826153
